codigo,nombre_producto,tipo_envase,destino,posibles_lineas_produccion
4-01-0000-1030,SEMITERMINADO AGUARDIENTE CRISTAL SA AZUL 750 VIDRIO 30°,750V2,SEMITERMINADO,1
4-01-0000-1123,SEMITERMINADO AGUARDIENTE AMARILLO SA 700 VID 24° EXP ,700CV-A,SEMITERMINADO,4
4-01-0000-1265,SEMITERMINADO AGUARDIENTE AMARILLO SA 750 ENV REG VID 24°EXP,750CV-A,SEMITERMINADO EXP,3
4-01-0000-1274,SEMITERMINADO AG AMARILLO SA 750 ENV REG VID 24° BOLIVIA,750CV-A,SEMITERMINADO,3
4-01-0000-1275,SEMITERMINADO AG AMARILLO SA 750 ENV REG VID 24° ECUADOR,750CV-A,SEMITERMINADO,3
4-01-0000-1300,SEMITERMINADO LICOR DE ANIS AMA SA 750 VIDRIO 24° REG CHILE,750CV-A,SEMITERMINADO,3
4-01-0000-1301,SEMITERMINADO LICOR DE ANIS AMA SA 750 VIDRIO 24° REG PERU,750CV-A,SEMITERMINADO,3
4-01-0000-1303,SEMITERMINADO AGUARDIENTE AMARILLO SA 750 VIDRIO 24° REG CR,750CV-A,SEMITERMINADO,3
4-01-0000-1304,SEMITERMINADO AGUARDIENTE AMARILLO SA 750 VIDRIO 24°REG PAN,750CV-A,SEMITERMINADO,3
4-01-0000-1331,SEMITERMINADO AGUARDIENTE AMARILLO SA 375 VIDRIO 24° EEUU,375CV-A,SEMITERMINADO,4
4-01-0173-0121,AGUARDIENTE CRISTAL TRADICIONAL 375 VIDRIO 29°,375R,ZONA 3,1
4-01-0173-0122,AGUARDIENTE CRISTAL SIN AZÚCAR GRIS 375 VIDRIO 29°,375R,ZONA 3,1
4-01-0173-0123,AGUARDIENTE CRISTAL TRADICIONAL 750 VIDRIO 29°,750R,ZONA 3,1
4-01-0173-0124,AGUARDIENTE CRISTAL SIN AZÚCAR GRIS 750 VIDRIO 29°,750R,ZONA 3,1
4-01-0173-0125,AGUARDIENTE CRISTAL TRADICIONAL 1750 VIDRIO 29°,1750-AD,ZONA 3,4
4-01-1960-1329,AGUARDIENTE AMARILLO DE MANZANARES SA 375 VIDRIO 24°,375CV-A,COSTA RICA,2
4-01-0690-1350,AGUARDIENTE AMARILLO DE MANZANARES SA 375 VIDRIO 24°,375CV-A,AUSTRALIA,2
4-01-0880-1137,AGUARDIENTE AMARILLO DE MANZANARES SA 375 VIDRIO 24° NP,375CV-A,AUSTRALIA,2
4-01-0692-1291,AGUARDIENTE AMARILLO DE MANZANARES SA 700 VIDRIO 24°,700CV-A,NUEVA ZELANDA,4
4-01-0000-1050,SEMITERMINADO AGUARDIENTE AMARILLO SA 750 VID 24°EXP,750CV-A,SEMITERMINADO,4
4-03-0000-0968,SEMITERMINADO RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40°,750NI,UNI-EXP,2
4-03-0000-0969,SEMITERMINADO RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,UNI-EXP,2
4-03-0000-0984,SEMITERMINADO RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,UNIVERSAL,2
4-01-0777-0001,AGUARDIENTE CRISTAL TRADICIONAL 250 TETRAPACK 29°,250T,UNIVERSAL,TETRA250
4-01-0777-0002,AGUARDIENTE CRISTAL TRADICIONAL 375 VIDRIO 29°,375R,UNIVERSAL,1
4-01-0777-0003,AGUARDIENTE CRISTAL TRADICIONAL 750 VIDRIO 29°,750R,UNIVERSAL,1
4-01-0777-0005,AGUARDIENTE CRISTAL TRADICIONAL 1750 VIDRIO 29°,1750-AD,UNIVERSAL,4
4-01-0777-0011,AGUARDIENTE CRISTAL  XS 375 VIDRIO 24°,375V2,UNIVERSAL,1
4-01-0777-0012,AGUARDIENTE CRISTAL  XS 750 VIDRIO 24°,750V2,UNIVERSAL,1
4-01-0777-0014,AGUARDIENTE CRISTAL SIN AZÚCAR GRIS 250 TETRAPACK 29°,250T,UNIVERSAL,TETRA250
4-01-0777-0149,AGUARDIENTE CRISTAL SIN AZÚCAR GRIS 375 VIDRIO 29°,375R,UNIVERSAL,1
4-01-0777-0150,AGUARDIENTE CRISTAL SIN AZÚCAR GRIS 750 VIDRIO 29°,750R,UNIVERSAL,1
4-01-0777-0445,AGUARDIENTE AMARILLO 750ML 32°,750R,UNIVERSAL,4
4-01-0777-0588,AGUARDIENTE CRISTAL XS SIN AZUCAR 1750 VIDRIO 24°,1750-AD,UNIVERSAL,4
4-01-0777-0589,AGUARDIENTE CRISTAL XS 1000 VIDRIO 24° ,1000V2,UNIVERSAL,1
4-01-0777-0625,AGUARDIENTE CRISTAL S SIN AZUCAR 750 VIDRIO 26°,750V2,UNIVERSAL,1
4-01-0777-1065,AGUARDIENTE CRISTAL XS SIN AZUCAR 1000 TETRAPACK 24° VERDE,1000T,UNIVERSAL,TETRA1000
4-01-0777-0663,AGUARDIENTE CRISTAL SIN AZÚCAR GRIS 1000 TETRAPACK 29°N IM,1000T,UNIVERSAL,TETRA1000
4-01-0777-0976,AGUARDIENTE CRISTAL TRADICIONAL 1000 TETRAPACK 29° P,1000T,UNIVERSAL,TETRA1000
